movie_id,tmdb_title,genre_ids,genres,genre_count,status,dataset_title
105,Back to the Future,"[12, 35, 878]","[""Adventure"", ""Comedy"", ""Science Fiction""]",3,success,Back to the Future
106,Predator,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Predator
107,Snatch,"[80, 35]","[""Crime"", ""Comedy""]",2,success,Snatch
108,Three Colors: Blue,[18],"[""Drama""]",1,success,Three Colors: Blue
109,Three Colors: White,"[35, 18, 9648]","[""Comedy"", ""Drama"", ""Mystery""]",3,success,Three Colors: White
110,Three Colors: Red,"[18, 9648, 10749]","[""Drama"", ""Mystery"", ""Romance""]",3,success,Three Colors: Red
111,Scarface,"[28, 80, 18]","[""Action"", ""Crime"", ""Drama""]",3,success,Scarface
113,"Spring, Summer, Fall, Winter... and Spring",[18],"[""Drama""]",1,success,"Spring, Summer, Fall, Winter... and Spring"
114,Pretty Woman,"[10749, 35]","[""Romance"", ""Comedy""]",2,success,Pretty Woman
115,The Big Lebowski,"[35, 80]","[""Comedy"", ""Crime""]",2,success,The Big Lebowski
116,Match Point,"[18, 10749, 53]","[""Drama"", ""Romance"", ""Thriller""]",3,success,Match Point
117,The Untouchables,"[80, 36, 53]","[""Crime"", ""History"", ""Thriller""]",3,success,The Untouchables
118,Charlie and the Chocolate Factory,"[12, 35, 10751, 14]","[""Adventure"", ""Comedy"", ""Family"", ""Fantasy""]",4,success,Charlie and the Chocolate Factory
120,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,The Lord of the Rings: The Fellowship of the Ring
121,The Lord of the Rings: The Two Towers,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,The Lord of the Rings: The Two Towers
122,The Lord of the Rings: The Return of the King,"[12, 14, 28]","[""Adventure"", ""Fantasy"", ""Action""]",3,success,The Lord of the Rings: The Return of the King
123,The Lord of the Rings,"[12, 16, 14]","[""Adventure"", ""Animation"", ""Fantasy""]",3,success,The Lord of the Rings
128,Princess Mononoke,"[12, 14, 16]","[""Adventure"", ""Fantasy"", ""Animation""]",3,success,Princess Mononoke
129,Spirited Away,"[16, 10751, 14]","[""Animation"", ""Family"", ""Fantasy""]",3,success,Spirited Away
134,"O Brother, Where Art Thou?","[12, 35, 80]","[""Adventure"", ""Comedy"", ""Crime""]",3,success,"O Brother, Where Art Thou?"
136,Freaks,"[18, 27]","[""Drama"", ""Horror""]",2,success,Freaks
137,Groundhog Day,"[10749, 14, 35]","[""Romance"", ""Fantasy"", ""Comedy""]",3,success,Groundhog Day
138,Dracula,[27],"[""Horror""]",1,success,Dracula
140,Bad Education,"[18, 80]","[""Drama"", ""Crime""]",2,success,Bad Education
141,Donnie Darko,"[14, 18, 9648]","[""Fantasy"", ""Drama"", ""Mystery""]",3,success,Donnie Darko
142,Brokeback Mountain,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Brokeback Mountain
143,All Quiet on the Western Front,"[18, 10752]","[""Drama"", ""War""]",2,success,All Quiet on the Western Front
144,Wings of Desire,"[18, 14, 10749]","[""Drama"", ""Fantasy"", ""Romance""]",3,success,Wings of Desire
145,Breaking the Waves,"[18, 10749]","[""Drama"", ""Romance""]",2,success,Breaking the Waves
146,"Crouching Tiger, Hidden Dragon","[12, 18, 28, 10749]","[""Adventure"", ""Drama"", ""Action"", ""Romance""]",4,success,"Crouching Tiger, Hidden Dragon"
147,The 400 Blows,[18],"[""Drama""]",1,success,The 400 Blows
149,Akira,"[16, 878, 28]","[""Animation"", ""Science Fiction"", ""Action""]",3,success,Akira
150,48 Hrs.,"[80, 28, 35]","[""Crime"", ""Action"", ""Comedy""]",3,success,48 Hrs.
152,Star Trek: The Motion Picture,"[878, 12, 9648]","[""Science Fiction"", ""Adventure"", ""Mystery""]",3,success,Star Trek: The Motion Picture
153,Lost in Translation,"[18, 35, 10749]","[""Drama"", ""Comedy"", ""Romance""]",3,success,Lost in Translation
154,Star Trek II: The Wrath of Khan,"[28, 12, 878, 53]","[""Action"", ""Adventure"", ""Science Fiction"", ""Thriller""]",4,success,Star Trek II: The Wrath of Khan
155,The Dark Knight,"[28, 80, 53]","[""Action"", ""Crime"", ""Thriller""]",3,success,The Dark Knight
157,Star Trek III: The Search for Spock,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Star Trek III: The Search for Spock
158,Knockin' on Heaven's Door,"[35, 80, 28, 18]","[""Comedy"", ""Crime"", ""Action"", ""Drama""]",4,success,Knockin' on Heaven's Door
160,The Arrival of a Train at La Ciotat,[36],"[""History""]",1,success,The Arrival of a Train at La Ciotat
161,Ocean's Eleven,"[53, 80]","[""Thriller"", ""Crime""]",2,success,Ocean's Eleven
162,Edward Scissorhands,"[14, 18, 10749]","[""Fantasy"", ""Drama"", ""Romance""]",3,success,Edward Scissorhands
163,Ocean's Twelve,"[53, 80]","[""Thriller"", ""Crime""]",2,success,Ocean's Twelve
164,Breakfast at Tiffany's,"[35, 10749, 18]","[""Comedy"", ""Romance"", ""Drama""]",3,success,Breakfast at Tiffany's
165,Back to the Future Part II,"[12, 35, 878]","[""Adventure"", ""Comedy"", ""Science Fiction""]",3,success,Back to the Future Part II
166,The Party,"[18, 10749, 35]","[""Drama"", ""Romance"", ""Comedy""]",3,success,The Party
167,K-PAX,"[878, 18, 9648]","[""Science Fiction"", ""Drama"", ""Mystery""]",3,success,K-PAX
168,Star Trek IV: The Voyage Home,"[878, 12]","[""Science Fiction"", ""Adventure""]",2,success,Star Trek IV: The Voyage Home
169,Predator 2,"[878, 28, 53]","[""Science Fiction"", ""Action"", ""Thriller""]",3,success,Predator 2
170,28 Days Later,"[27, 53, 878]","[""Horror"", ""Thriller"", ""Science Fiction""]",3,success,28 Days Later
171,The Party 2,"[35, 10749, 18]","[""Comedy"", ""Romance"", ""Drama""]",3,success,The Party 2
172,Star Trek V: The Final Frontier,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Star Trek V: The Final Frontier
173,"20,000 Leagues Under the Sea","[12, 878, 14]","[""Adventure"", ""Science Fiction"", ""Fantasy""]",3,success,"20,000 Leagues Under the Sea"
174,Star Trek VI: The Undiscovered Country,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Star Trek VI: The Undiscovered Country
175,The Big Blue,"[10749, 12, 18]","[""Romance"", ""Adventure"", ""Drama""]",3,success,The Big Blue
176,Saw,"[27, 9648, 80]","[""Horror"", ""Mystery"", ""Crime""]",3,success,Saw
177,The Fisher King,"[35, 18]","[""Comedy"", ""Drama""]",2,success,The Fisher King
178,Blown Away,[28],"[""Action""]",1,success,Blown Away
179,The Interpreter,"[80, 53]","[""Crime"", ""Thriller""]",2,success,The Interpreter
180,Minority Report,"[878, 28, 53]","[""Science Fiction"", ""Action"", ""Thriller""]",3,success,Minority Report
182,The Good German,"[18, 9648, 10749, 53, 10752]","[""Drama"", ""Mystery"", ""Romance"", ""Thriller"", ""War""]",5,success,The Good German
183,The Wizard,"[12, 35, 18, 10751]","[""Adventure"", ""Comedy"", ""Drama"", ""Family""]",4,success,The Wizard
184,Jackie Brown,"[80, 18, 53]","[""Crime"", ""Drama"", ""Thriller""]",3,success,Jackie Brown
185,A Clockwork Orange,"[878, 80]","[""Science Fiction"", ""Crime""]",2,success,A Clockwork Orange
186,Lucky Number Slevin,"[18, 53, 80, 9648]","[""Drama"", ""Thriller"", ""Crime"", ""Mystery""]",4,success,Lucky Number Slevin
187,Sin City,"[80, 53]","[""Crime"", ""Thriller""]",2,success,Sin City
189,Sin City: A Dame to Kill For,"[28, 80, 53]","[""Action"", ""Crime"", ""Thriller""]",3,success,Sin City: A Dame to Kill For
192,The Name of the Rose,"[18, 53, 9648]","[""Drama"", ""Thriller"", ""Mystery""]",3,success,The Name of the Rose
193,Star Trek: Generations,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Star Trek: Generations
194,Amélie,"[35, 10749]","[""Comedy"", ""Romance""]",2,success,Amélie
195,Trouble in Paradise,"[35, 80, 10749]","[""Comedy"", ""Crime"", ""Romance""]",3,success,Trouble in Paradise
196,Back to the Future Part III,"[12, 35, 878]","[""Adventure"", ""Comedy"", ""Science Fiction""]",3,success,Back to the Future Part III
197,Braveheart,"[28, 18, 36, 10752]","[""Action"", ""Drama"", ""History"", ""War""]",4,success,Braveheart
198,To Be or Not to Be,"[35, 10752, 10749]","[""Comedy"", ""War"", ""Romance""]",3,success,To Be or Not to Be
199,Star Trek: First Contact,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Star Trek: First Contact
200,Star Trek: Insurrection,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Star Trek: Insurrection
201,Star Trek: Nemesis,"[878, 28, 12, 53]","[""Science Fiction"", ""Action"", ""Adventure"", ""Thriller""]",4,success,Star Trek: Nemesis
203,Mean Streets,"[18, 80]","[""Drama"", ""Crime""]",2,success,Mean Streets
204,The Wages of Fear,"[18, 53, 12]","[""Drama"", ""Thriller"", ""Adventure""]",3,success,The Wages of Fear
205,Hotel Rwanda,"[18, 36, 10752]","[""Drama"", ""History"", ""War""]",3,success,Hotel Rwanda
207,Dead Poets Society,[18],"[""Drama""]",1,success,Dead Poets Society
212,Arsenic and Old Lace,"[35, 80]","[""Comedy"", ""Crime""]",2,success,Arsenic and Old Lace
213,North by Northwest,"[53, 12]","[""Thriller"", ""Adventure""]",2,success,North by Northwest
214,Saw III,"[27, 53, 80]","[""Horror"", ""Thriller"", ""Crime""]",3,success,Saw III
215,Saw II,[27],"[""Horror""]",1,success,Saw II
216,Ali: Fear Eats the Soul,"[10749, 18]","[""Romance"", ""Drama""]",2,success,Ali: Fear Eats the Soul
217,Indiana Jones and the Kingdom of the Crystal Skull,"[12, 28]","[""Adventure"", ""Action""]",2,success,Indiana Jones and the Kingdom of the Crystal Skull
218,The Terminator,"[28, 53, 878]","[""Action"", ""Thriller"", ""Science Fiction""]",3,success,The Terminator
219,Volver,"[35, 18, 10749]","[""Comedy"", ""Drama"", ""Romance""]",3,success,Volver
220,East of Eden,[18],"[""Drama""]",1,success,East of Eden
221,Rebel Without a Cause,[18],"[""Drama""]",1,success,Rebel Without a Cause
223,Rebecca,"[9648, 10749, 18]","[""Mystery"", ""Romance"", ""Drama""]",3,success,Rebecca
226,Boys Don't Cry,"[80, 18]","[""Crime"", ""Drama""]",2,success,Boys Don't Cry
227,The Outsiders,"[80, 18]","[""Crime"", ""Drama""]",2,success,The Outsiders
228,The Blue Angel,[18],"[""Drama""]",1,success,The Blue Angel
229,Bride of Frankenstein,"[27, 878]","[""Horror"", ""Science Fiction""]",2,success,Bride of Frankenstein
231,Syriana,"[18, 53]","[""Drama"", ""Thriller""]",2,success,Syriana
