query_movie_id,query_title,model,rank,recommended_movie_id,recommended_title,cosine_similarity,query_genres,recommended_genres,shared_genres,genre_overlap,genre_jaccard
27205,Inception,minilm,4,51876,Limitless,0.46508920192718506,"Action, Adventure, Science Fiction","Mystery, Science Fiction, Thriller",Science Fiction,1,0.2
27205,Inception,minilm,5,3525,Working Girl,0.4608907699584961,"Action, Adventure, Science Fiction","Comedy, Drama, Romance",,0,0.0
27205,Inception,minilm,6,10425,The Death and Life of Bobby Z,0.4541664719581604,"Action, Adventure, Science Fiction","Action, Crime, Drama, Thriller",Action,1,0.16666666666666666
27205,Inception,minilm,7,8284,The Limits of Control,0.45416343212127686,"Action, Adventure, Science Fiction","Crime, Drama, Mystery, Thriller",,0,0.0
27205,Inception,minilm,8,255157,The Forger,0.4536888301372528,"Action, Adventure, Science Fiction","Crime, Drama, Thriller",,0,0.0
27205,Inception,minilm,9,11321,Seven Pounds,0.4502415955066681,"Action, Adventure, Science Fiction",Drama,,0,0.0
27205,Inception,minilm,10,207703,Kingsman: The Secret Service,0.44900453090667725,"Action, Adventure, Science Fiction","Action, Adventure, Comedy, Crime","Action, Adventure",1,0.4
27205,Inception,mpnet,1,2322,Sneakers,0.5232251882553101,"Action, Adventure, Science Fiction","Comedy, Crime, Drama",,0,0.0
27205,Inception,mpnet,2,302156,Criminal,0.5138125419616699,"Action, Adventure, Science Fiction","Action, Crime, Science Fiction","Action, Science Fiction",1,0.5
27205,Inception,mpnet,3,978592,Sleeping Dogs,0.5129855871200562,"Action, Adventure, Science Fiction","Crime, Drama, Mystery, Thriller",,0,0.0
27205,Inception,mpnet,4,9323,Ghost in the Shell,0.5087719559669495,"Action, Adventure, Science Fiction","Action, Animation, Science Fiction","Action, Science Fiction",1,0.5
27205,Inception,mpnet,5,818397,Memory,0.5004580020904541,"Action, Adventure, Science Fiction","Action, Crime, Thriller",Action,1,0.2
27205,Inception,mpnet,6,10163,The Lawnmower Man,0.4997309446334839,"Action, Adventure, Science Fiction","Horror, Science Fiction",Science Fiction,1,0.25
27205,Inception,mpnet,7,4169,Breach,0.49969154596328735,"Action, Adventure, Science Fiction","Crime, Drama, History, Thriller",,0,0.0
27205,Inception,mpnet,8,29193,The Spanish Prisoner,0.49830225110054016,"Action, Adventure, Science Fiction","Drama, Mystery, Thriller",,0,0.0
27205,Inception,mpnet,9,399035,The Commuter,0.49786150455474854,"Action, Adventure, Science Fiction","Action, Mystery, Thriller",Action,1,0.2
27205,Inception,mpnet,10,9620,Paycheck,0.4975127875804901,"Action, Adventure, Science Fiction","Action, Adventure, Mystery, Science Fiction, Thriller","Action, Adventure, Science Fiction",1,0.6
27205,Inception,gte_modernbert,1,21407,The Collector,0.7386508584022522,"Action, Adventure, Science Fiction","Horror, Thriller",,0,0.0
27205,Inception,gte_modernbert,2,115348,Paranoia,0.7272019386291504,"Action, Adventure, Science Fiction","Drama, Thriller",,0,0.0
27205,Inception,gte_modernbert,3,3525,Working Girl,0.7196074724197388,"Action, Adventure, Science Fiction","Comedy, Drama, Romance",,0,0.0
27205,Inception,gte_modernbert,4,119283,Parker,0.7174766659736633,"Action, Adventure, Science Fiction","Action, Crime",Action,1,0.25
27205,Inception,gte_modernbert,5,1727,Bird on a Wire,0.7158644199371338,"Action, Adventure, Science Fiction","Adventure, Comedy, Romance",Adventure,1,0.2
27205,Inception,gte_modernbert,6,2155,Reindeer Games,0.7104328274726868,"Action, Adventure, Science Fiction","Action, Crime, Thriller",Action,1,0.2
27205,Inception,gte_modernbert,7,302156,Criminal,0.7102334499359131,"Action, Adventure, Science Fiction","Action, Crime, Science Fiction","Action, Science Fiction",1,0.5
27205,Inception,gte_modernbert,8,9277,The Sting,0.7102278470993042,"Action, Adventure, Science Fiction","Comedy, Crime, Drama",,0,0.0
27205,Inception,gte_modernbert,9,2322,Sneakers,0.709392786026001,"Action, Adventure, Science Fiction","Comedy, Crime, Drama",,0,0.0
27205,Inception,gte_modernbert,10,10133,Cypher,0.7093380093574524,"Action, Adventure, Science Fiction","Science Fiction, Thriller",Science Fiction,1,0.25
862,Toy Story,minilm,1,10193,Toy Story 3,0.7586122751235962,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
862,Toy Story,minilm,2,863,Toy Story 2,0.7400597333908081,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
862,Toy Story,minilm,3,301528,Toy Story 4,0.5444011092185974,"Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family",1,1.0
862,Toy Story,minilm,4,16187,Buzz Lightyear of Star Command: The Adventure Begins,0.47646284103393555,"Adventure, Animation, Comedy, Family","Action, Adventure, Animation, Comedy, Family, Science Fiction, TV Movie","Adventure, Animation, Comedy, Family",1,0.5714285714285714
862,Toy Story,minilm,5,718789,Lightyear,0.4287939667701721,"Adventure, Animation, Comedy, Family","Adventure, Animation, Family, Science Fiction","Adventure, Animation, Family",1,0.6
862,Toy Story,minilm,6,10585,Child's Play,0.4226815700531006,"Adventure, Animation, Comedy, Family",Horror,,0,0.0
862,Toy Story,minilm,7,11186,Child's Play 2,0.39463943243026733,"Adventure, Animation, Comedy, Family",Horror,,0,0.0
862,Toy Story,minilm,8,13925,Luxo Jr.,0.39173558354377747,"Adventure, Animation, Comedy, Family","Animation, Comedy","Animation, Comedy",1,0.5
862,Toy Story,minilm,9,55465,A Very Harold & Kumar Christmas,0.39038950204849243,"Adventure, Animation, Comedy, Family",Comedy,Comedy,1,0.25
862,Toy Story,minilm,10,9969,Deck the Halls,0.3881223201751709,"Adventure, Animation, Comedy, Family","Comedy, Family","Comedy, Family",1,0.5
862,Toy Story,mpnet,1,10193,Toy Story 3,0.8329988718032837,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
862,Toy Story,mpnet,2,863,Toy Story 2,0.8169537782669067,"Adventure, Animation, Comedy, Family","Animation, Comedy, Family","Animation, Comedy, Family",1,0.75
862,Toy Story,mpnet,3,301528,Toy Story 4,0.645551860332489,"Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family",1,1.0
862,Toy Story,mpnet,4,16187,Buzz Lightyear of Star Command: The Adventure Begins,0.5125540494918823,"Adventure, Animation, Comedy, Family","Action, Adventure, Animation, Comedy, Family, Science Fiction, TV Movie","Adventure, Animation, Comedy, Family",1,0.5714285714285714
862,Toy Story,mpnet,5,11186,Child's Play 2,0.5068923234939575,"Adventure, Animation, Comedy, Family",Horror,,0,0.0
862,Toy Story,mpnet,6,420814,Christopher Robin,0.49889782071113586,"Adventure, Animation, Comedy, Family","Adventure, Comedy, Family, Fantasy","Adventure, Comedy, Family",1,0.6
