model,query_movie_id,query_title,genre_overlap_at_k,genre_jaccard_at_k,top_k
minilm,120467,The Grand Budapest Hotel,0.9,0.395,10
mpnet,12,Finding Nemo,0.7,0.32166666666666666,10
mpnet,120,The Lord of the Rings: The Fellowship of the Ring,1.0,0.75,10
mpnet,155,The Dark Knight,1.0,0.445,10
mpnet,238,The Godfather,1.0,0.6166666666666666,10
mpnet,274,The Silence of the Lambs,0.9,0.485,10
mpnet,348,Alien,0.7,0.39166666666666666,10
mpnet,597,Titanic,0.6,0.29,10
mpnet,603,The Matrix,0.7,0.3583333333333333,10
mpnet,807,Se7en,0.8,0.4333333333333333,10
mpnet,857,Saving Private Ryan,1.0,0.61,10
mpnet,862,Toy Story,0.9,0.6171428571428572,10
mpnet,9552,The Exorcist,1.0,0.4333333333333333,10
mpnet,11036,The Notebook,0.9,0.5083333333333333,10
mpnet,27205,Inception,0.6,0.225,10
mpnet,37165,The Truman Show,0.8,0.2783333333333333,10
mpnet,37799,The Social Network,0.8,0.3333333333333333,10
mpnet,44214,Black Swan,0.9,0.21166666666666667,10
mpnet,76341,Mad Max: Fury Road,0.6,0.29333333333333333,10
mpnet,120467,The Grand Budapest Hotel,0.9,0.4583333333333333,10
